epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,1464.68,0.57166,0.36929,0.93778,0.89677,0.9517,0.96601,0.68361,1.24777,0.51327,1.55588,0.00024265,0.00024265,0.00024265
155,1473.22,0.55394,0.3688,0.92659,0.88737,0.9624,0.97289,0.70376,1.21609,0.50184,1.60699,0.0002377,0.0002377,0.0002377
156,1481.79,0.5473,0.36291,0.93745,0.92111,0.99199,0.98554,0.72591,1.24061,0.4471,1.51176,0.00023275,0.00023275,0.00023275
157,1490.31,0.56,0.3643,0.9412,0.9198,0.9749,0.97532,0.70267,1.2456,0.51791,1.49239,0.0002278,0.0002278,0.0002278
158,1499,0.57957,0.37047,0.94691,0.92424,0.99232,0.97836,0.70222,1.21121,0.47414,1.51173,0.00022285,0.00022285,0.00022285
159,1508,0.56028,0.35455,0.93396,0.90262,0.96761,0.97566,0.71046,1.20426,0.48595,1.50873,0.0002179,0.0002179,0.0002179
160,1516.88,0.53553,0.35711,0.92394,0.87938,0.99386,0.97373,0.71342,1.21561,0.48924,1.48373,0.00021295,0.00021295,0.00021295
161,1525.84,0.54366,0.34921,0.93542,0.88999,0.99248,0.97452,0.71479,1.1945,0.46876,1.52007,0.000208,0.000208,0.000208
162,1534.85,0.53284,0.35602,0.9275,0.94609,0.95595,0.97332,0.7161,1.18522,0.4599,1.47452,0.00020305,0.00020305,0.00020305
163,1543.6,0.54874,0.36329,0.92881,0.87292,0.99396,0.97109,0.70544,1.20794,0.49801,1.4714,0.0001981,0.0001981,0.0001981
164,1552.23,0.53722,0.34671,0.91753,0.91551,1,0.98997,0.72636,1.20083,0.45324,1.51487,0.00019315,0.00019315,0.00019315
165,1560.8,0.54313,0.34415,0.92448,0.95382,0.98895,0.99202,0.72455,1.21715,0.43014,1.51969,0.0001882,0.0001882,0.0001882
166,1569.48,0.544,0.35115,0.92756,0.94499,0.96126,0.98249,0.72068,1.21874,0.44956,1.51227,0.00018325,0.00018325,0.00018325
167,1578.17,0.5194,0.33827,0.91865,0.90702,0.9564,0.98108,0.71192,1.19524,0.45573,1.46997,0.0001783,0.0001783,0.0001783
168,1587.03,0.51177,0.32996,0.92102,0.90144,0.98321,0.97415,0.70002,1.2341,0.46848,1.53236,0.00017335,0.00017335,0.00017335
169,1595.93,0.53302,0.34383,0.91496,0.924,0.9506,0.96825,0.69599,1.24211,0.49723,1.53038,0.0001684,0.0001684,0.0001684
170,1604.61,0.51523,0.32916,0.91191,0.92293,0.95894,0.9793,0.70855,1.22335,0.46935,1.51583,0.00016345,0.00016345,0.00016345
171,1613.29,0.52904,0.34455,0.92075,0.92431,0.97876,0.98027,0.70589,1.24921,0.45067,1.54553,0.0001585,0.0001585,0.0001585
172,1621.95,0.53099,0.33277,0.92483,0.9066,0.99045,0.98604,0.70052,1.22718,0.42638,1.57131,0.00015355,0.00015355,0.00015355
173,1630.74,0.51791,0.33345,0.91633,0.91885,0.97555,0.98132,0.69596,1.24476,0.45179,1.54838,0.0001486,0.0001486,0.0001486
174,1640.37,0.53044,0.35103,0.92432,0.92946,0.99948,0.98915,0.71962,1.21288,0.43119,1.57061,0.00014365,0.00014365,0.00014365
175,1649.86,0.52505,0.34416,0.92609,0.93802,0.9744,0.98797,0.71754,1.18547,0.41965,1.50926,0.0001387,0.0001387,0.0001387
176,1659.16,0.51454,0.33695,0.93034,0.94522,0.94521,0.98647,0.72976,1.17306,0.42983,1.46491,0.00013375,0.00013375,0.00013375
177,1668.53,0.51168,0.33384,0.91833,0.93571,0.93878,0.98352,0.70994,1.19653,0.46544,1.47653,0.0001288,0.0001288,0.0001288
178,1677.54,0.52601,0.33339,0.91766,0.92891,0.9782,0.98897,0.71915,1.23388,0.4517,1.49947,0.00012385,0.00012385,0.00012385
179,1686.74,0.52405,0.33569,0.92011,0.96599,0.96571,0.99119,0.72177,1.22689,0.44418,1.52589,0.0001189,0.0001189,0.0001189
